"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Year","Week","StartDate","EndDate"
"1","Colombo","48","02","00","03","01","00","01","02",2007,44,2007-10-27,2007-11-02
"2","Gampaha","27","04","00","01","00","07","01","04",2007,44,2007-10-27,2007-11-02
"3","Kalutara","15","10","00","00","00","05","00","02",2007,44,2007-10-27,2007-11-02
"4","Kandy","10","01","00","00","03","02","00","11",2007,44,2007-10-27,2007-11-02
"5","Matale","02","02","00","00","00","00","00","00",2007,44,2007-10-27,2007-11-02
"6","NuwaraEliya","01","00","00","03","00","02","00","05",2007,44,2007-10-27,2007-11-02
"7","Galle","01","03","00","02","00","03","01","01",2007,44,2007-10-27,2007-11-02
"8","Hambanthota","07","07","00","00","00","01","02","02",2007,44,2007-10-27,2007-11-02
"9","Matara","07","06","00","01","00","09","03","02",2007,44,2007-10-27,2007-11-02
"10","Jaffna","08","02","00","01","00","00","03","00",2007,44,2007-10-27,2007-11-02
"11","Kilinochchi","00","00","00","00","00","00","00","00",2007,44,2007-10-27,2007-11-02
"12","Mannar","00","00","00","04","00","00","00","01",2007,44,2007-10-27,2007-11-02
"13","Vavuniya","00","03","00","00","01","00","00","01",2007,44,2007-10-27,2007-11-02
"14","Mullaitivu","00","00","00","00","00","00","00","00",2007,44,2007-10-27,2007-11-02
"15","Batticaloa","01","01","00","01","00","00","00","09",2007,44,2007-10-27,2007-11-02
"16","Ampara","00","17","00","00","00","00","00","00",2007,44,2007-10-27,2007-11-02
"17","Trincomalee","00","00","00","01","00","00","00","00",2007,44,2007-10-27,2007-11-02
"18","Kurunagala","27","15","00","00","01","04","00","02",2007,44,2007-10-27,2007-11-02
"19","Puttalam","01","05","00","00","00","00","01","00",2007,44,2007-10-27,2007-11-02
"20","Anuradhapura","02","01","00","00","00","00","00","00",2007,44,2007-10-27,2007-11-02
"21","Polonnaruwa","00","02","00","00","03","00","00","01",2007,44,2007-10-27,2007-11-02
"22","Badulla","01","13","00","02","00","00","00","06",2007,44,2007-10-27,2007-11-02
"23","Monaragala","02","04","00","01","03","00","00","04",2007,44,2007-10-27,2007-11-02
"24","Ratnapura","09","05","00","01","00","02","00","00",2007,44,2007-10-27,2007-11-02
"25","Kegalle","00","01","00","01","00","11","00","02",2007,44,2007-10-27,2007-11-02
"26","Kalmune","0","01","00","00","01","00","00","02",2007,44,2007-10-27,2007-11-02
