"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Year","Week","StartDate","EndDate"
"1","Colombo","16","04","00","00","02","07","00","02","01",2008,27,2008-06-28,2008-07-04
"2","Gampaha","14","03","01","00","00","10","01","02","00",2008,27,2008-06-28,2008-07-04
"3","Kalutara","06","04","00","01","00","05","00","00","00",2008,27,2008-06-28,2008-07-04
"4","Kandy","08","07","00","02","01","12","03","01","00",2008,27,2008-06-28,2008-07-04
"5","Matale","00","04","00","01","00","11","00","01","00",2008,27,2008-06-28,2008-07-04
"6","NuwaraEliya","00","07","00","10","00","02","00","01","00",2008,27,2008-06-28,2008-07-04
"7","Galle","01","05","00","00","00","05","00","00","00",2008,27,2008-06-28,2008-07-04
"8","Hambanthota","03","01","01","00","00","02","01","00","00",2008,27,2008-06-28,2008-07-04
"9","Matara","03","01","00","01","00","05","06","00","00",2008,27,2008-06-28,2008-07-04
"10","Jaffna","00","00","00","01","00","00","00","01","00",2008,27,2008-06-28,2008-07-04
"11","Kilinochchi","00","00","00","00","00","00","00","00","00",2008,27,2008-06-28,2008-07-04
"12","Mannar","00","00","00","02","00","00","00","00","00",2008,27,2008-06-28,2008-07-04
"13","Vavuniya","00","00","00","01","00","00","00","00","00",2008,27,2008-06-28,2008-07-04
"14","Mullaitivu","00","00","00","00","00","00","00","00","00",2008,27,2008-06-28,2008-07-04
"15","Batticaloa","01","02","00","02","00","00","00","00","00",2008,27,2008-06-28,2008-07-04
"16","Ampara","02","19","00","00","00","00","00","00","00",2008,27,2008-06-28,2008-07-04
"17","Trincomalee","00","00","00","00","00","00","00","00","00",2008,27,2008-06-28,2008-07-04
"18","Kurunagala","05","04","00","00","00","06","00","03","00",2008,27,2008-06-28,2008-07-04
"19","Puttalam","03","01","00","04","00","05","00","00","00",2008,27,2008-06-28,2008-07-04
"20","Anuradhapura","00","00","02","00","00","03","00","00","00",2008,27,2008-06-28,2008-07-04
"21","Polonnaruwa","00","05","00","00","00","01","00","01","00",2008,27,2008-06-28,2008-07-04
"22","Badulla","02","09","00","03","00","01","02","08","00",2008,27,2008-06-28,2008-07-04
"23","Monaragala","00","16","00","00","00","01","00","02","00",2008,27,2008-06-28,2008-07-04
"24","Ratnapura","34","06","00","00","00","04","00","01","00",2008,27,2008-06-28,2008-07-04
"25","Kegalle","13","07","01","02","00","11","01","07","00",2008,27,2008-06-28,2008-07-04
"26","Kalmune","00","03","00","00","02","00","00","00","00",2008,27,2008-06-28,2008-07-04
