"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Year","Week","StartDate","EndDate"
"1","Colombo","60","6","0","12","0","17","0","2","0",2010,41,2010-10-09,2010-10-15
"2","Gampaha","5","0","0","0","0","21","0","2","0",2010,41,2010-10-09,2010-10-15
"3","Kalutara","12","9","0","0","0","9","1","3","0",2010,41,2010-10-09,2010-10-15
"4","Kandy","15","8","1","1","1","7","3","1","0",2010,41,2010-10-09,2010-10-15
"5","Matale","5","3","0","0","0","1","0","0","0",2010,41,2010-10-09,2010-10-15
"6","NuwaraEliya","2","3","0","0","0","2","0","0","0",2010,41,2010-10-09,2010-10-15
"7","Galle","10","4","0","2","0","19","0","3","0",2010,41,2010-10-09,2010-10-15
"8","Hambanthota","2","1","0","0","0","0","3","2","0",2010,41,2010-10-09,2010-10-15
"9","Matara","2","0","0","0","0","7","3","1","0",2010,41,2010-10-09,2010-10-15
"10","Jaffna","5","10","0","4","0","0","1","3","0",2010,41,2010-10-09,2010-10-15
"11","Kilinochchi","0","0","0","0","0","0","0","0","0",2010,41,2010-10-09,2010-10-15
"12","Mannar","2","1","0","0","0","0","0","0","0",2010,41,2010-10-09,2010-10-15
"13","Vavuniya","0","1","0","1","1","0","0","1","0",2010,41,2010-10-09,2010-10-15
"14","Mullaitivu","1","0","0","0","0","0","0","0","0",2010,41,2010-10-09,2010-10-15
"15","Batticaloa","0","3","0","0","2","0","0","0","0",2010,41,2010-10-09,2010-10-15
"16","Ampara","0","0","0","0","0","0","0","0","0",2010,41,2010-10-09,2010-10-15
"17","Trincomalee","3","3","0","0","0","7","0","0","0",2010,41,2010-10-09,2010-10-15
"18","Kurunagala","7","8","0","1","0","6","0","3","0",2010,41,2010-10-09,2010-10-15
"19","Puttalam","5","5","0","0","0","0","0","0","0",2010,41,2010-10-09,2010-10-15
"20","Anuradhapura","0","1","0","1","3","1","0","1","0",2010,41,2010-10-09,2010-10-15
"21","Polonnaruwa","2","2","0","1","0","1","0","1","0",2010,41,2010-10-09,2010-10-15
"22","Badulla","5","7","0","1","0","2","2","3","0",2010,41,2010-10-09,2010-10-15
"23","Monaragala","8","2","0","0","0","1","0","3","0",2010,41,2010-10-09,2010-10-15
"24","Ratnapura","16","2","0","0","0","2","1","0","0",2010,41,2010-10-09,2010-10-15
"25","Kegalle","2","0","0","0","0","6","1","0","0",2010,41,2010-10-09,2010-10-15
"26","Kalmune","2","2","0","0","0","0","0","0","0",2010,41,2010-10-09,2010-10-15
