"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Chickenpox","Meningitis","Leishmaniasis","Year","Week","StartDate","EndDate"
"1","Colombo","166","1","0","0","0","3","0","0","0","11","0","0",2019,14,2019-03-30,2019-04-05
"2","Gampaha","91","0","0","0","0","1","0","0","0","3","0","1",2019,14,2019-03-30,2019-04-05
"3","Kalutara","38","1","0","0","0","8","0","0","0","4","0","0",2019,14,2019-03-30,2019-04-05
"4","Kandy","35","3","1","0","1","0","2","1","0","6","3","2",2019,14,2019-03-30,2019-04-05
"5","Matale","3","0","0","0","0","0","1","0","0","2","0","6",2019,14,2019-03-30,2019-04-05
"6","NuwaraEliya","1","5","0","0","0","0","0","0","0","1","1","0",2019,14,2019-03-30,2019-04-05
"7","Galle","35","2","0","0","0","11","1","0","0","11","1","0",2019,14,2019-03-30,2019-04-05
"8","Hambanthota","20","0","0","0","0","2","6","0","0","4","0","2",2019,14,2019-03-30,2019-04-05
"9","Matara","24","0","0","0","0","7","0","0","0","15","0","10",2019,14,2019-03-30,2019-04-05
"10","Jaffna","54","2","0","1","1","0","5","1","0","4","1","0",2019,14,2019-03-30,2019-04-05
"11","Kilinochchi","3","0","0","0","0","0","0","0","0","0","0","0",2019,14,2019-03-30,2019-04-05
"12","Mannar","1","0","0","0","0","0","0","0","0","0","0","0",2019,14,2019-03-30,2019-04-05
"13","Vavuniya","1","1","0","0","0","2","0","0","0","7","0","0",2019,14,2019-03-30,2019-04-05
"14","Mullaitivu","1","0","0","0","0","0","0","0","0","0","0","0",2019,14,2019-03-30,2019-04-05
"15","Batticaloa","43","3","0","1","1","0","1","0","0","12","0","0",2019,14,2019-03-30,2019-04-05
"16","Ampara","3","0","0","0","0","0","0","1","0","2","0","0",2019,14,2019-03-30,2019-04-05
"17","Trincomalee","35","0","0","0","0","0","1","1","0","8","1","0",2019,14,2019-03-30,2019-04-05
"18","Kurunagala","28","2","0","0","0","3","0","1","0","15","4","11",2019,14,2019-03-30,2019-04-05
"19","Puttalam","9","1","0","0","0","1","1","0","0","6","3","1",2019,14,2019-03-30,2019-04-05
"20","Anuradhapura","9","0","0","0","0","3","0","1","0","18","1","15",2019,14,2019-03-30,2019-04-05
"21","Polonnaruwa","2","0","0","1","0","0","0","2","0","11","0","2",2019,14,2019-03-30,2019-04-05
"22","Badulla","9","1","0","0","0","1","1","0","0","7","2","0",2019,14,2019-03-30,2019-04-05
"23","Monaragala","8","3","0","0","0","8","1","3","0","7","4","0",2019,14,2019-03-30,2019-04-05
"24","Ratnapura","30","0","2","0","0","15","2","1","0","8","3","1",2019,14,2019-03-30,2019-04-05
"25","Kegalle","16","1","2","0","0","1","1","11","0","13","1","0",2019,14,2019-03-30,2019-04-05
"26","Kalmune","22","0","0","0","0","1","0","0","0","8","0","0",2019,14,2019-03-30,2019-04-05
