"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Chickenpox","Meningitis","Leishmaniasis","Year","Week","StartDate","EndDate"
"1","Colombo","72","2","1","1","0","10","1","0","0","1","2","0",2020,31,2020-07-25,2020-07-31
"2","Gampaha","23","0","0","1","0","3","0","0","0","0","1","0",2020,31,2020-07-25,2020-07-31
"3","Kalutara","28","1","0","0","0","4","0","0","0","4","0","0",2020,31,2020-07-25,2020-07-31
"4","Kandy","97","3","0","0","0","10","3","0","0","1","2","0",2020,31,2020-07-25,2020-07-31
"5","Matale","5","0","0","0","0","0","1","1","0","1","0","2",2020,31,2020-07-25,2020-07-31
"6","NuwaraEliya","4","1","0","0","0","7","1","0","0","0","0","0",2020,31,2020-07-25,2020-07-31
"7","Galle","19","0","1","1","1","17","1","0","0","1","1","0",2020,31,2020-07-25,2020-07-31
"8","Hambanthota","2","0","0","0","5","7","6","0","0","0","2","29",2020,31,2020-07-25,2020-07-31
"9","Matara","6","2","0","0","0","4","0","0","0","2","1","13",2020,31,2020-07-25,2020-07-31
"10","Jaffna","4","3","0","0","2","0","0","0","0","3","0","0",2020,31,2020-07-25,2020-07-31
"11","Kilinochchi","2","1","0","0","0","0","0","0","0","0","0","0",2020,31,2020-07-25,2020-07-31
"12","Mannar","2","0","0","0","0","0","1","0","0","0","0","0",2020,31,2020-07-25,2020-07-31
"13","Vavuniya","0","0","0","0","0","0","0","0","0","0","0","0",2020,31,2020-07-25,2020-07-31
"14","Mullaitivu","0","0","0","0","0","0","0","0","0","0","0","0",2020,31,2020-07-25,2020-07-31
"15","Batticaloa","16","4","0","0","0","1","0","0","0","0","0","0",2020,31,2020-07-25,2020-07-31
"16","Ampara","0","0","0","0","0","0","0","0","0","0","0","0",2020,31,2020-07-25,2020-07-31
"17","Trincomalee","3","0","0","0","0","0","0","0","0","0","0","0",2020,31,2020-07-25,2020-07-31
"18","Kurunagala","12","0","1","0","0","2","0","0","0","0","3","11",2020,31,2020-07-25,2020-07-31
"19","Puttalam","5","0","0","0","0","2","0","0","0","0","1","1",2020,31,2020-07-25,2020-07-31
"20","Anuradhapura","6","0","0","0","0","3","0","0","0","0","2","10",2020,31,2020-07-25,2020-07-31
"21","Polonnaruwa","0","0","0","0","0","0","0","0","0","2","0","13",2020,31,2020-07-25,2020-07-31
"22","Badulla","5","0","0","0","1","8","1","0","0","1","1","0",2020,31,2020-07-25,2020-07-31
"23","Monaragala","0","0","0","0","0","0","0","0","0","0","0","0",2020,31,2020-07-25,2020-07-31
"24","Ratnapura","75","5","0","0","2","42","4","0","0","2","2","8",2020,31,2020-07-25,2020-07-31
"25","Kegalle","26","0","0","0","0","9","1","0","0","0","1","1",2020,31,2020-07-25,2020-07-31
"26","Kalmune","7","0","0","0","3","1","0","0","0","1","1","0",2020,31,2020-07-25,2020-07-31
